Name	N duplicates	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Raw 12	Raw 13	Raw 14	Raw 15	Raw 16	Ratio 0	Ratio 1	Ratio 2	Ratio 3	Ratio 4	Ratio 5	Ratio 6	Ratio 7	Ratio 8	Ratio 9	Ratio 10	Ratio 11	Ratio 12	Ratio 13	Ratio 14	Ratio 15	Ratio 16	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
5637_NPC-26	1	1.0	0.9683	0.8919	1.047	1.045	0.9077	1.027	1.006	0.9426	1.021	1.021		1.073	0.9569	0.9944	1.04	1.048	1.0	0.9683	0.8919	1.047	1.045	0.9077	1.027	1.006	0.9426	1.021	1.021		1.073	0.9569	0.9944	1.04	1.048	0.0	8.453170073816274	10.0	0.9418687059337622	1.010789457449474	0.015482522140991991	1.0036632965817247	0.046394696004466385	0.17015323553055228	1.07844327953872	71.7051615762264	0.037918385985817316	0.01546773848703816	1.0011171217363417	0.05095971243234838	0.8258882576717811	0.6312965238944452	0.1997666020200519	0.007077818765589713	-0.0	not
639-V_CIL70	1	1.0	0.9362	0.9426	0.9136	0.9412	1.028	0.9168	0.9576	1.011	0.8737999999999999	0.9259	0.9036	0.8851	0.9394	0.9655	0.9044	0.9562	1.0	0.9362	0.9426	0.9136	0.9412	1.028	0.9168	0.9576	1.011	0.8737999999999999	0.9259	0.9036	0.8851	0.9394	0.9655	0.9044	0.9562	0.0	6.6445179853822305	10.0	0.9568206874072149	0.919651604700316	-0.12084067215839028	0.9383582772196821	0.03607815880376305	0.2376972407424437	1.0770041560550014	75.60208348367368	0.014589506436235638	0.015598319506721987	0.9386770833333333	0.04140068183673019	1.3464829589295297	0.35703874658119916	0.44728465079732815	0.19543637137995065	0.0022422090891485386	not
639-V_NPC-26	1	1.0	0.9959	0.8665999999999999	1.002	1.073	1.089	1.068	1.113	1.071	1.102	1.08	1.064	1.087	1.064	1.064	1.093	1.121	1.0	0.9959	0.8665999999999999	1.002	1.073	1.089	1.068	1.113	1.071	1.102	1.08	1.064	1.087	1.064	1.064	1.093	1.121	0.0	8.26115470284486	5.834868144919456	0.9418813836009308	1.08351877597983	0.11572415368842726	1.062860563903408	0.03125056325118254	0.7231646088446966	0.12031433215082322	11.41458357790115	0.021202973446651334	0.010336756600677557	1.0583760416666665	0.05943865677814374	11.124861218899962	0.00043806714720036913	3.3584593154695925	0.32211216448981866	0.01991629719013782	not
647-V_NPC-26	1	1.0	1.01	1.008	0.9981	0.9939	1.004	0.9655	1.002	1.023	1.008	1.013	1.033	0.9871	1.036	0.9926	1.021	1.017	1.0	1.01	1.008	0.9981	0.9939	1.004	0.9655	1.002	1.023	1.008	1.013	1.033	0.9871	1.036	0.9926	1.021	1.017	0.0	7.066925198024181	10.0	0.9965842444389674	1.0142933757524817	0.020475000000358266	1.0070345376822658	0.014459898357382997	0.2552449642711253	2.870839399897206	698.5270186738235	0.006269501294264398	0.0058373203578435525	1.0067312499999999	0.01675605746757324	1.4569245649371323	0.31561975887504434	0.5008358162934491	0.01209577937696561	-0.0	not
697_NPC-26	1	1.0	1.332	1.272	1.281	1.364	1.258	1.21	1.28	1.335	1.249	1.281	1.256	1.208	0.9771	1.219	1.025	0.09227	1.0	1.332	1.272	1.281	1.364	1.258	1.21	1.28	1.335	1.249	1.281	1.256	1.208	0.9771	1.219	1.025	0.09227	0.0	4.574510045957148	5.36808849426503	1.2437284653391105	0.0001	-2.98711126724683	1.192801293647812	0.10004984815021885	0.8793140482066887	0.8512708439883228	27.380255371096517	0.03068853816463021	2.73199745782796	1.1709578125	0.2884247349957328	31.07003025694217	2.528304137470245e-06	5.597170684630048	17.947301953854684	4.361924679438363	down
769-P_CIL70	1	1.0	0.9229	0.8848999999999999	0.9504	0.909	0.953	0.9366	0.9468	0.9981	0.8987	0.9772	0.9039	0.9025	0.9951	0.9741	0.9234	0.9	1.0	0.9229	0.8848999999999999	0.9504	0.909	0.953	0.9366	0.9468	0.9981	0.8987	0.9772	0.9039	0.9025	0.9951	0.9741	0.9234	0.9	0.0	4.687689388597884	10.0	0.940922656102791	0.9030724417991937	-0.1470099083311829	0.9384973962535929	0.03558346794389786	0.08297159702930856	2.5566463071731698	2136.7971889824507	0.010876715514107701	0.08196842683631429	0.9378822916666666	0.03720784174881253	0.396878796480262	0.9167511359127837	0.03774854324862692	0.13336128339949305	3.447177858555707e-05	not
786-0_NPC-26	1	1.0	1.015	1.048	1.044	1.064	1.019	1.048	1.055	1.061	0.9798	0.9386	1.024	0.98	0.926	0.9106	1.018	0.9976	1.0	1.015	1.048	1.044	1.064	1.019	1.048	1.055	1.061	0.9798	0.9386	1.024	0.98	0.926	0.9106	1.018	0.9976	0.0	6.604042967027871	10.0	1.042601083937222	0.9704086181108457	-0.04333573192835258	1.0073881097674489	0.031352893038632146	0.5351748912408453	0.6678371469328441	67.99535185769952	0.012678570739744712	0.013555714711827293	1.0079062499999998	0.04598803035705404	4.893728179732075	0.013206446548695518	1.8792140220444111	0.052687749191603066	-0.0	not
8-MG-BA_NPC-26	1	1.0	1.011	1.047	1.004	0.9842	1.018	0.9948	1.04	1.03	1.021	1.028	0.9563	0.99	1.046	1.01	1.025	1.032	1.0	1.011	1.047	1.004	0.9842	1.018	0.9948	1.04	1.03	1.021	1.028	0.9563	0.99	1.046	1.01	1.025	1.032	0.0	5.44754693035449	10.0	1.0103794752495585	1.0271345283130364	0.03862515012619393	1.0142677554045278	0.021988902569372075	0.10983825114464074	1.7193880088159452	113.35448830913388	0.007259647169106167	0.01452742809259267	1.0143833333333332	0.023309938201424903	0.5259972096626424	0.8353436629824813	0.07813481765224817	0.030145673771853513	-0.0	not
8305C_CIL70	1	1.0	0.9642	0.9054	0.9757	0.9573	1.014	1.003	0.8998999999999999	1.015	0.9611	0.9227	0.7885	0.8242	0.7683	0.2506	0.05141	0.03008	1.0	0.9642	0.9054	0.9757	0.9573	1.014	1.003	0.8998999999999999	1.015	0.9611	0.9227	0.7885	0.8242	0.7683	0.2506	0.05141	0.03008	0.0	5.13546271195176	2.523472146314987	0.9462829768266684	0.0001	-6.270853745276491	0.7915014295707958	0.05781348832840108	0.9679048546717125	0.05387514613171778	0.6429019589910611	0.01918511536825856	0.0673927398921987	0.7811881249999999	0.3227218782490187	128.18031073641674	9.883484619484847e-10	9.00508990923814	75.20959669330871	7.699721158922029	down
8305C_NPC-26	1	1.0	1.07	1.067	1.144	1.093	1.078	1.101	1.1	1.103	1.097	1.13	1.152	1.107	1.144	1.136	1.09	1.188	1.0	1.07	1.067	1.144	1.093	1.078	1.101	1.1	1.103	1.097	1.13	1.152	1.107	1.144	1.136	1.09	1.188	0.0	2.3979400086720375	0.07938712225152739	1.0001434718839988	1.3534397624374503	0.19516617773632752	1.112063686303234	0.0244416528758086	0.6451258549012042	69.88092051204752	0.2647915082820284	0.027949272125961214	2.447179239723731	1.1098125	0.04121703506778975	7.835963595989712	0.002074493310359345	2.6830879613067875	0.6672409690636294	0.13208425630017281	
8505C_CIL70	1	1.0	0.8820999999999999	0.8719	0.8737	0.8962	0.9446	0.8774	0.9133	0.9056	0.9189	0.8676		0.9167	0.9007	0.7973	0.7334	0.3034	1.0	0.8820999999999999	0.8719	0.8737	0.8962	0.9446	0.8774	0.9133	0.9056	0.9189	0.8676		0.9167	0.9007	0.7973	0.7334	0.3034	0.0	4.497633546160858	2.582705138384335	0.8975369006613443	0.0001	-1.6458092158377555	0.8630739931457044	0.03728857270820703	0.9399904857461898	0.36005642252860415	1.8437719617696977	0.012349870947482078	0.8268227057639435	0.8510076132696219	0.15222016988512643	62.65809155252937	1.3287783969795423e-07	6.876547441174394	19.270790235157186	4.314073304566593	down
8505C_NPC-26	1	1.0	1.006	1.057	1.052	1.068	1.003	1.05	1.048	1.009	1.039	1.025		0.9976	0.9	1.011	1.011	1.011	1.0	1.006	1.057	1.052	1.068	1.003	1.05	1.048	1.009	1.039	1.025		0.9976	0.9	1.011	1.011	1.011	0.0	5.9402003121644915	3.400560592220894	1.035729856359054	0.9848106576316741	-0.022081295351615154	1.0183668669144945	0.031116815181352894	0.3220725828994281	0.9217537240887509	10.58325029018429	0.011587999640345315	0.01878802837193588	1.018688224479517	0.037799048455724155	1.9024381493085787	0.1984593782321288	0.7023283736112955	0.014558865100330833	-0.0	not
A101D_NPC-26	1	1.0	1.009	1.008	1.003	0.9712	0.9784	0.9885	1.002	1.021	0.961	0.9665	0.927	0.9053	0.9578	0.9592	0.8865999999999999	0.9431	1.0	1.009	1.008	1.003	0.9712	0.9784	0.9885	1.002	1.021	0.961	0.9665	0.927	0.9053	0.9578	0.9592	0.8865999999999999	0.9431	0.0	6.312943388469058	2.7664596529563035	0.9962394664357531	0.9297464837861813	-0.10509018841551326	0.968086083242163	0.02053773325218281	0.689126633492638	0.20990819084256707	3.0851095821803316	0.008216954783933313	0.010562573569382967	0.9684739583333334	0.03686103047765057	9.440485716652052	0.0009228860659290953	3.0348519111002865	0.26692232456801085	0.010086327261349323	not
A172_NPC-26	1	1.0	1.036	1.0659999999999998	1.096	1.004	1.027	0.975	1.012	1.021	1.012	1.058	0.9698	0.9601	1.048	0.986	1.05	0.9328	1.0	1.036	1.0659999999999998	1.096	1.004	1.027	0.975	1.012	1.021	1.012	1.058	0.9698	0.9601	1.048	0.986	1.05	0.9328	0.0	8.106337987191978	10.0	1.0588094746927832	1.0049966449086016	0.007190685103903698	1.0146872683697428	0.03657718948220686	0.20376999133899176	1.3785281751690546	144.90325677391277	0.02416157569467426	0.01207743668207119	1.0161812499999998	0.0410105310912457	1.0926786459986906	0.4735108741221994	0.32467004302387636	0.0016676206010054605	-0.0	not
A204_NPC-26	1	1.0	1.004	1.01	1.025	1.036	0.9901	0.9631	0.9885	0.9926	1.041	0.988	0.9822	0.7895	0.4034	0.141		0.02711	1.0	1.004	1.01	1.025	1.036	0.9901	0.9631	0.9885	0.9926	1.041	0.988	0.9822	0.7895	0.4034	0.141		0.02711	0.0	5.38673077103826	2.4144791933058607	1.0060549306402573	0.04414842651576079	-4.378588797223183	0.7956066911090403	0.020038258775505382	0.9961343143041634	0.018322722565599636	0.20114625833015537	0.0069880816416496225	0.022401100563180433	0.8041932978723403	0.32388961109084385	1041.0427718841383	4.2363931046822266e-14	13.373003747508566	209.2378081583965	9.636374940147121	down
A2058_NPC-26	1	1.0	1.052	1.034	1.0590000000000002	1.026	0.9996	1.043	1.074	1.089	1.036	1.007	1.024	0.9845	1.119	1.079	0.9444	1.006	1.0	1.052	1.034	1.0590000000000002	1.026	0.9996	1.043	1.074	1.089	1.036	1.007	1.024	0.9845	1.119	1.079	0.9444	1.006	0.0	4.844375509956525	10.0	1.0431545820687738	0.9751787683772	-0.03625792696135649	1.0364449355120973	0.03589441480779893	0.2550937563195016	0.768281572820749	49.935624064827195	0.010971803845360166	0.041130063175390655	1.0354270833333332	0.041616366185520524	1.462990315448341	0.3134923470214818	0.5037730567053817	0.033136326774329615	-0.0	not
A253_NPC-26	1	1.0	1.08	1.093	1.106	1.094	1.1	1.075	1.065	1.087	1.075	1.08	1.063	1.067	0.6717	0.9564	0.7047	0.08052	1.0	1.08	1.093	1.106	1.094	1.1	1.075	1.065	1.087	1.075	1.08	1.063	1.067	0.6717	0.9564	0.7047	0.08052	0.0	4.66828814139325	1.8535026426690533	1.0653822172668566	0.0001	-1.9683271364994035	0.9865760173551804	0.10181953734600532	0.840367844342131	0.3641702770617387	1.3507304334657089	0.03359056936980525	0.6639018588260773	0.9711395833333333	0.2549256686880628	22.391202627857265	1.409343372611828e-05	4.850983182431679	11.314277875929491	3.3924065371162353	down
